1.1	3.01
1.36	-0.39
1.54	-1.82
1.29	-0.34
1.24	-0.58
1.62	-2.04
1.14	-0.57
1.05	-0.44
1.37	1.18
1.36	-0.45
1.56	-2.29
1.27	-0.37
1.4	-2.11
1.27	-0.52
1.31	-0.37
1.23	-0.39
1.16	-0.16
0.89	3.96
1.18	1.11
1.69	-0.65
1.49	-0.5
0.29	1.66
1.29	-0.64
1.35	-0.49
1.15	-0.8
1.21	-0.36
1.41	-0.07
1.33	-0.79
1.43	-0.32
1.28	-0.16
1.3	-0.32
1.14	-0.53
1.23	-0.25
1.38	-0.47
1.34	-0.17
1.21	-2.33
1.32	1.09
1.35	-0.03
0.47	4.13
0.47	4.13
1.12	-0.07
1.2	-0.45
1.33	-0.21
0.72	4.1
1.19	-0.14
1.35	1.0
1.18	0.69
0.71	8.67
0.79	4.23
1.23	0.98
0.51	5.2
1.28	1.26
1.19	0.08
1.28	0.37
1.29	-0.22
1.29	-0.31
1.12	-5.85
1.29	0.24
1.17	-0.46
1.19	-0.46
1.11	1.05
1.32	1.77
0.88	3.72
0.78	4.27
0.9	3.72
1.12	2.99
0.87	3.52
0.87	3.52
0.9	3.52
0.82	5.0
1.74	-2.26
1.27	0.48
1.52	-2.07
1.57	-1.69
1.54	-2.04
1.51	-2.1
1.54	-1.55
1.54	-1.73
1.25	-1.87
1.9	-2.1
2.12	-2.08
1.43	-2.07
1.25	-1.54
1.55	-2.06
2.08	-3.91
1.49	-1.75
1.47	-2.31
1.52	-1.55
1.48	-1.82
1.87	-1.6
1.11	0.41
1.45	-1.95
1.58	-2.12
1.47	-2.1
1.49	-1.71
1.43	0.6
1.06	0.41
1.16	-0.57
1.71	-1.11
1.43	0.11
1.44	-1.45
1.63	-0.7
0.83	0.2
0.66	9.25
1.17	6.1
1.88	6.75
2.1	13.25
1.0	15.93
1.0	4.22
0.56	0.18
0.77	8.64
0.75	9.39
0.67	9.77
1.26	0.92
1.19	0.47
1.33	0.46
1.41	0.29
1.81	-0.92
1.53	-1.27
1.47	-1.48
1.32	0.44
1.62	-1.37
1.48	-1.13
1.71	-0.93
1.15	3.77
1.56	0.72
1.26	-1.33
1.43	2.81
1.67	2.68
1.63	2.2
1.36	3.77
1.36	8.14
1.18	0.13
1.54	0.0
1.25	0.11
1.3	-0.11
1.08	0.06
1.57	-0.89
1.54	-1.26
1.64	-1.26
1.61	-1.1
1.07	0.51
1.44	-1.38
1.79	-0.91
1.23	-1.4
1.24	0.39
1.11	-0.31
1.34	-1.9
1.38	-1.3
1.35	-1.57
1.76	-1.35
0.83	3.27
0.65	-0.21
1.22	-1.9
1.31	-1.06
1.26	-1.54
1.28	-1.45
0.58	3.21
1.52	-0.24
1.63	-0.04
1.54	0.32
0.75	1.34
0.91	4.11
3.5	-2.86
1.86	1.15
1.56	3.71
1.56	3.51
1.65	1.69
1.83	-1.34
1.76	1.94
1.58	5.69
3.04	-4.84
3.02	-4.79
1.4	2.43
2.17	2.58
1.51	3.19
1.56	1.05
1.19	1.37
1.62	0.29
1.66	0.52
1.54	-5.01
1.74	0.88
2.09	1.16
0.56	1.69
0.34	-6.85
1.81	-6.69
2.22	0.38
1.23	5.15
2.06	4.47
1.31	5.65
1.79	-1.87
2.38	-1.98
2.79	-1.77
2.0	-0.81
1.98	-1.17
2.68	-2.55
2.54	-2.44
2.34	-0.73
2.66	-2.69
2.51	-1.91
2.25	-2.92
1.19	-1.47
2.42	-2.86
1.99	-1.42
2.27	-1.83
1.8	-0.68
1.87	-1.55
1.82	0.31
2.74	-1.6
2.88	-1.77
1.99	-1.15
2.02	2.65
1.94	-1.49
2.08	-0.89
